e0,E5
e1,F5
e2,F#5
e3,G5
e4,G#5
e5,A5
e6,A#5
e7,B5
e8,C6
e9,C#6
e10,D6
e11,D#6
e12,E6
e13,F6
e14,F#6
e15,G6
e16,G#6
e17,A6
B0,B4
B1,C5
B2,C#5
B3,D5
B4,D#5
B5,E5
B6,F5
B7,F#5
B8,G5
B9,G#5
B10,A5
B11,A#5
B12,B5
B13,C6
B14,C#6
B15,D6
B16,D#6
B17,E6
G0,G4
G1,G#4
G2,A4
G3,A#4
G4,B4
G5,C5
G6,C#5
G7,D5
G8,D#5
G9,E5
G10,F5
G11,F#5
G12,G5
G13,G#5
G14,A5
G15,A#5
G16,B5
G17,C6
D0,D4
D1,D#4
D2,E4
D3,F4
D4,F#4
D5,G4
D6,G#4
D7,A4
D8,A#4
D9,B4
D10,C5
D11,C#5
D12,D5
D13,D#5
D14,E5
D15,F5
D16,F#5
D17,G5
A0,A3
A1,A#3
A2,B3
A3,C4
A4,C#4
A5,D4
A6,D#4
A7,E4
A8,F4
A9,F#4
A10,G4
A11,G#4
A12,A4
A13,A#4
A14,B4
A15,C5
A16,C#5
A17,D5
E0,E3
E1,F3
E2,F#3
E3,G3
E4,G#3
E5,A3
E6,A#3
E7,B3
E8,C4
E9,C#4
E10,D4
E11,D#4
E12,E4
E13,F4
E14,F#4
E15,G4
E16,G#4
E17,A4
